PLATECODE	FIRSTLEVEL	SECLEVEL	THREELEVEL	FIRSTNAME	SECNAME	THREENAME	BASEPERIOD	MKTVAL	FLOWOFEQUITY	YSDCLOSEPRICE	RECTIME
B00004	S	S11	S1102	申银万国行业分类	农林牧渔	渔业	407752325288100	440345950004600	3804925417	9959733	20120321171329
B00007	S	S11	S1103	申银万国行业分类	农林牧渔	林业	251120025266600	250190675446600	1587003245	9971876	20120321171329
B00009	S	S11	S1104	申银万国行业分类	农林牧渔	饲料	1383848480094700	1366337101122900	8668476228	9872013	20120321171329
B00011	S	S11	S1105	申银万国行业分类	农林牧渔	农产品加工	1087290981153400	1071668617354500	7904683181	9870804	20120321171329
B00015	S	S11	S1106	申银万国行业分类	农林牧渔	农业综合	67997673424000	69157929633600	532876088	10121336	20120321171329
B00017	S	S11	S1107	申银万国行业分类	农林牧渔	畜禽养殖	1015619522574700	993383173973200	5716501792	9775249	20120321171329
B00019	S	S11	S1108	申银万国行业分类	农林牧渔	动物保健	498876137659800	489520299666200	2614324086	9811497	20120321171329
B00021	S	S21	S2101	申银万国行业分类	采掘	石油开采	12511856719658000	12526151932269000	163502907127	10011425	20120321171329
B00023	S	S21	S2102	申银万国行业分类	采掘	煤炭开采	6550575159736300	6702901908501400	81164771986	10233083	20120321171329
B00026	S	S21	S2103	申银万国行业分类	采掘	其他采掘	659034713825000	665501455692900	8887374683	10128510	20120321171329
B00028	S	S21	S2104	申银万国行业分类	采掘	采掘服务	1102115978239800	1107911420915800	10883743463	10063795	20120321171329
B00031	S	S22	S2201	申银万国行业分类	化工	石油化工	5945802015116700	5941063583826800	109728387242	9992985	20120321171329
B00034	S	S22	S2202	申银万国行业分类	化工	化学原料	1656344804954000	1677076430426300	19638488370	10136243	20120321171329
B00039	S	S22	S2203	申银万国行业分类	化工	化学制品	9251647326116900	9165777329839600	68730788424	9904325	20120321171329
B00054	S	S22	S2204	申银万国行业分类	化工	化学纤维	2259448607298200	2260920069160000	21172211800	10020685	20120321171329
B00060	S	S22	S2205	申银万国行业分类	化工	塑料	1729002716058900	1717326010159000	10751595581	9908470	20120321171329
B00064	S	S22	S2206	申银万国行业分类	化工	橡胶	748070140973900	746691192693600	5947966661	9985285	20120321171329
B00068	S	S23	S2301	申银万国行业分类	钢铁	钢铁	5179451933461000	5223741587529600	119071841307	10082697	20120321171329
B00071	S	S24	S2402	申银万国行业分类	有色金属	金属非金属新材料	1653404270306000	1622194538993200	12350021323	9834303	20120321171329
B00075	S	S24	S2403	申银万国行业分类	有色金属	工业金属	4319589361667800	4304158062711500	58466254285	9978802	20120321171329
B00079	S	S24	S2404	申银万国行业分类	有色金属	黄金	2071363604764800	2080774179255500	25862978341	10037656	20120321171329
B00081	S	S24	S2405	申银万国行业分类	有色金属	稀有金属	3006049406479000	2953619607160500	29646373180	9842963	20120321171329
B00086	S	S27	S2701	申银万国行业分类	电子	半导体	1927132626158600	1897923547069900	11946084192	9886060	20120321171329
B00090	S	S27	S2702	申银万国行业分类	电子	元件	1628253933857100	1622791301486000	11103292717	9962300	20120321171329
B00093	S	S27	S2703	申银万国行业分类	电子	光学光电子	3824102967394600	3781788782087900	46327707329	9926802	20120321171329
B00097	S	S27	S2704	申银万国行业分类	电子	其他电子	1823503986167500	1803219863782300	10917956329	9902870	20120321171329
B00099	S	S27	S2705	申银万国行业分类	电子	电子制造	2965096867609300	2925270085853100	13247244574	9869263	20120321171329
B00102	S	S28	S2801	申银万国行业分类	汽车	汽车整车	6618385745706500	6581753888703600	43940412146	9934716	20120321171329
B00106	S	S28	S2802	申银万国行业分类	汽车	汽车零部件	5780135292224500	5741886098078800	32338626657	9964845	20120321171329
B00108	S	S28	S2803	申银万国行业分类	汽车	汽车服务	821311634068300	814872910517100	12084126810	9949286	20120321171329
B00110	S	S28	S2804	申银万国行业分类	汽车	其他交运设备	397876645133300	393223861168400	3017997763	9910686	20120321171329
B00112	S	S33	S3301	申银万国行业分类	家用电器	白色家电	4954318909905500	4939976518734400	28908026300	9981969	20120321171329
B00118	S	S33	S3302	申银万国行业分类	家用电器	视听器材	1407806652547500	1396689257761900	20940905035	9931399	20120321171329
B00121	S	S34	S3403	申银万国行业分类	食品饮料	饮料制造	7754862837996900	7759238847932800	25756709955	10010073	20120321171329
B00128	S	S34	S3404	申银万国行业分类	食品饮料	食品加工	3369985143844800	3354356088412700	25172043911	9962536	20120321171329
B00133	S	S35	S3501	申银万国行业分类	纺织服装	纺织制造	2145886063393800	2136754636121200	18423057661	9967265	20120321171329
B00140	S	S35	S3502	申银万国行业分类	纺织服装	服装家纺	3330200316521100	3316794862726800	23969752383	9968271	20120321171329
B00147	S	S36	S3601	申银万国行业分类	轻工制造	造纸	1299722963597300	1294019813711300	17476616599	9946821	20120321171329
B00149	S	S36	S3602	申银万国行业分类	轻工制造	包装印刷	1556488609404000	1546773577737300	11546323565	9921562	20120321171329
B00151	S	S36	S3603	申银万国行业分类	轻工制造	家用轻工	2533794902303500	2529153558135300	17182216924	10009761	20120321171329
B00156	S	S36	S3604	申银万国行业分类	轻工制造	其他轻工制造	30413920000000	29711520000000	35120000	9780346	20120321171329
B00158	S	S37	S3701	申银万国行业分类	医药生物	化学制药	6321673842182800	6242213992716900	32342460788	9875461	20120321171329
B00161	S	S37	S3702	申银万国行业分类	医药生物	中药	6713501378510500	6657164899760800	35221282530	9908768	20120321171329
B00163	S	S37	S3703	申银万国行业分类	医药生物	生物制品	3687684448330900	3677441633154900	14170386972	9911767	20120321171329
B00165	S	S37	S3704	申银万国行业分类	医药生物	医药商业	1893414930160900	1874121619517900	7880168402	9911738	20120321171329
B00167	S	S37	S3705	申银万国行业分类	医药生物	医疗器械	1478651960377500	1472459538176000	5622776412	9920009	20120321171329
B00169	S	S37	S3706	申银万国行业分类	医药生物	医疗服务	959803479036700	959410784096700	3844617860	9971748	20120321171329
B00171	S	S41	S4101	申银万国行业分类	公用事业	电力	9195660086014400	9141221717459000	136969263495	9943055	20120321171329
B00177	S	S41	S4102	申银万国行业分类	公用事业	水务	1526583086779700	1516057692511600	17119660574	9932299	20120321171329
B00179	S	S41	S4103	申银万国行业分类	公用事业	燃气	593842163181500	592061813588600	5417581171	9996129	20120321171329
B00181	S	S41	S4104	申银万国行业分类	公用事业	环保工程及服务	2435881556873900	2419905353447700	12429749442	9943215	20120321171329
B00183	S	S42	S4201	申银万国行业分类	交通运输	港口	3585324507250500	3571158832609900	60306159647	9961753	20120321171329
B00185	S	S42	S4202	申银万国行业分类	交通运输	高速公路	1921483028617000	1907813350184500	30427412174	9934954	20120321171329
B00187	S	S42	S4203	申银万国行业分类	交通运输	公交	590162977711900	592519401085100	3645379133	10042902	20120321171329
B00189	S	S42	S4204	申银万国行业分类	交通运输	航空运输	2120409271857200	2092516409679600	36081066108	9866199	20120321171329
B00191	S	S42	S4205	申银万国行业分类	交通运输	机场	692701741559600	691762300594200	4592055906	9986438	20120321171329
B00193	S	S42	S4206	申银万国行业分类	交通运输	航运	1973636142324100	1996352879851800	30561863351	10123761	20120321171329
B00195	S	S42	S4207	申银万国行业分类	交通运输	铁路运输	1354678142632200	1332777202095200	21824550365	9838331	20120321171329
B00197	S	S42	S4208	申银万国行业分类	交通运输	物流	2127022242700400	2121832647022000	14985934892	9956531	20120321171329
B00199	S	S43	S4301	申银万国行业分类	房地产	房地产开发	17471074414949700	17379748510193900	172313228579	9955278	20120321171329
B00201	S	S43	S4302	申银万国行业分类	房地产	园区开发	1551685161357800	1538176865149300	7153334051	9912944	20120321171329
B00203	S	S45	S4502	申银万国行业分类	商业贸易	贸易	1609944776838000	1611141943892800	10502137566	10018401	20120321171329
B00205	S	S45	S4503	申银万国行业分类	商业贸易	一般零售	3345193277532400	3331623096115600	27726798709	9970211	20120321171329
B00209	S	S45	S4504	申银万国行业分类	商业贸易	专业零售	1499684663419400	1478817614713500	10778331024	9834094	20120321171329
B00211	S	S45	S4505	申银万国行业分类	商业贸易	商业物业经营	1501042000224600	1485591646259800	16423668032	9871035	20120321171329
B00214	S	S46	S4601	申银万国行业分类	休闲服务	景点	542999661029200	534680926154800	2529259343	9910586	20120321171329
B00217	S	S46	S4602	申银万国行业分类	休闲服务	酒店	355854317168400	356047082504400	1996687802	10008906	20120321171329
B00219	S	S46	S4603	申银万国行业分类	休闲服务	旅游综合	1390391040055900	1392592936122600	5713876891	10029494	20120321171329
B00221	S	S46	S4604	申银万国行业分类	休闲服务	餐饮	170580363866600	169683019736300	1539629548	9967991	20120321171329
