FIRSTLEVEL	SECLEVEL	THREELEVEL	MKT_TP_CODE	SCR_CODE	RECTIME
S27	S2705	S270502	2	002055	20140219110136
S27	S2704	S270401	2	002056	20140219110136
S43	S4301	S430101	1	600048	20120322095338
S24	S2402	S240202	2	002057	20140219110136
S63	S6302	S630203	2	002058	20140218164539
S46	S4603	S460301	2	002059	20140219110136
S42	S4207	S420701	1	601006	20120322095338
S62	S6203	S620303	2	002060	20140218164539
S22	S2203	S220313	2	002061	20140219110136
S62	S6203	S620301	2	002062	20140218164539
S71	S7102	S710201	2	002063	20140218164539
S22	S2204	S220405	2	002064	20140219110136
S71	S7102	S710202	2	002065	20140218164539
S61	S6103	S610301	2	002066	20140117101604
S42	S4204	S420401	1	601111	20120322095338
S36	S3601	S360101	2	002067	20120322095338
S37	S3701	S370102	2	300016	20120322095338
S22	S2206	S220603	2	002068	20140219110136
S71	S7102	S710202	2	300271	20140218164539
S21	S2102	S210201	1	601699	20120322095338
S11	S1102	S110202	2	002069	20120322095338
S71	S7102	S710201	2	002279	20140218164539
S35	S3501	S350104	2	002070	20120322095338
S72	S7201	S720102	2	002071	20151109174923
S35	S3501	S350102	2	002072	20120322095338
S43	S4301	S430101	1	601588	20120322095338
S64	S6402	S640209	2	002073	20140117101603
S42	S4201	S420101	1	600017	20120322095338
S63	S6304	S630402	2	002074	20140218164505
S23	S2301	S230101	2	002075	20140117111408
S27	S2704	S270401	2	002076	20120322095338
S27	S2701	S270102	2	002079	20140219110136
S43	S4302	S430201	2	002077	20150701173625
S36	S3601	S360101	2	002078	20120322095338
S42	S4201	S420101	1	600018	20120322095338
S22	S2203	S220314	2	002080	20140117101608
S62	S6202	S620201	2	002081	20140218164539
S61	S6103	S610303	2	002082	20140117101706
S21	S2102	S210201	1	601666	20120322095338
S28	S2802	S280201	2	002085	20140117101705
S35	S3501	S350102	2	002083	20120322095358
S36	S3603	S360303	2	002084	20120322095338
S11	S1102	S110202	2	002086	20120322095338
S35	S3501	S350102	2	002087	20120322095338
S61	S6103	S610301	2	002088	20140117101604
S73	S7302	S730202	2	002089	20140117101604
S42	S4206	S420601	1	601872	20120322095338
S63	S6302	S630201	2	002090	20140218164539
S45	S4502	S450201	2	002091	20120322095338
S22	S2202	S220202	2	002092	20120322095338
S36	S3603	S360303	2	002094	20120322095338
S72	S7203	S720301	2	002095	20140117101606
S73	S7302	S730203	2	002093	20140117101604
