MKT_TP_CODE	SCR_CODE	SCR_NM	ENSCR_NM	TRDUNIT	MONEYTYPE	CAPITAL	CIRCULATSTOCK	ASSETSPERSHARE	LSTINCPERSHARE	CURINCPERSHARE	VOL_BASE_RATIO	RECTIME
1	010107	21国债⑺		10	0	23960000000	23960000000	0	0	0	0	20160307172318
1	010213	02国债⒀		10	0	24000000000	24000000000	0	0	0	0	20160307172318
1	010303	03国债⑶		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	010504	05国债⑷		10	0	33920000000	33920000000	0	0	0	0	20160307172318
1	010512	05国债⑿		10	0	34410000000	34410000000	0	0	0	0	20160307172318
1	010603	06国债⑶		10	0	34000000000	34000000000	0	0	0	0	20160307172318
1	010609	06国债⑼		10	0	31090000000	31090000000	0	0	0	0	20160307172318
1	010616	06国债⒃		10	0	30000000000	30000000000	0	0	0	0	20160307172318
1	010619	06国债⒆		10	0	30000000000	30000000000	0	0	0	0	20160307172318
1	010703	07国债03		10	0	30000000000	30000000000	0	0	0	0	20160307172318
1	010706	07国债06		10	0	30000000000	30000000000	0	0	0	0	20160307172318
1	010710	07国债10		10	0	35070000000	35070000000	0	0	0	0	20160307172318
1	010713	07国债13		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	018002	国开1302		0	0	4000000000	7000000000	0	0	0	0	20160307172338
1	018003	国开1401		0	0	2500000000	2500000000	0	0	0	0	20160307172338
1	019002	10国债02		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019003	10国债03		10	0	24000000000	24000000000	0	0	0	0	20160307172318
1	019005	10国债05		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019007	10国债07		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019009	10国债09		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019010	10国债10		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019012	10国债12		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019014	10国债14		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019015	10国债15		10	0	28310000000	28310000000	0	0	0	0	20160307172318
1	019018	10国债18		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019019	10国债19		10	0	28010000000	28010000000	0	0	0	0	20160307172318
1	019022	10国债22		10	0	28190000000	28190000000	0	0	0	0	20160307172318
1	019023	10国债23		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019024	10国债24		10	0	30440000000	30440000000	0	0	0	0	20160307172318
1	019026	10国债26		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019027	10国债27		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019029	10国债29		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019031	10国债31		10	0	28260000000	28260000000	0	0	0	0	20160307172318
