code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sh600001,2009-12-15,5.290000,5.310000,5.210000,5.290000,-0.011215,131004969.000000,689340920.000000,14899055250.000000,14899055250.000000,0.046514,13.720879,2009-09-30,2009-10-31,-661.256124,0.452114,5.095175,1.178055
sh600001,2009-12-14,5.470000,5.470000,5.200000,5.350000,-0.027273,130704741.000000,690960594.000000,15068042640.000000,15068042640.000000,0.046408,13.876504,2009-09-30,2009-10-31,-668.756225,0.457242,5.152965,1.191417
sh600001,2009-12-11,5.680000,5.730000,5.450000,5.500000,-0.021352,104960264.000000,584602657.000000,15490511130.000000,15490511130.000000,0.037267,14.265569,2009-09-30,2009-10-31,-687.506592,0.470062,5.297443,1.224822
sh600001,2009-12-10,5.620000,5.700000,5.550000,5.620000,0.010791,44208092.000000,248443079.000000,15828485920.000000,15828485920.000000,0.015696,14.576813,2009-09-30,2009-10-31,-702.506511,0.480318,5.413021,1.251545
sh600001,2009-12-09,5.630000,5.690000,5.510000,5.560000,-0.026270,40122678.000000,224938898.000000,15659498520.000000,15659498520.000000,0.014246,14.421194,2009-09-30,2009-10-31,-695.006694,0.475190,5.355233,1.238183
sh600001,2009-12-08,5.820000,5.830000,5.650000,5.710000,-0.018900,56619400.000000,323530942.000000,16081967010.000000,16081967010.000000,0.020103,14.810260,2009-09-30,2009-10-31,-713.757093,0.488010,5.499710,1.271588
sh600001,2009-12-07,5.720000,5.840000,5.680000,5.820000,0.013937,72415605.000000,418272128.000000,16391777230.000000,16391777230.000000,0.025712,15.095566,2009-09-30,2009-10-31,-727.506974,0.497411,5.605657,1.296084
sh600001,2009-12-04,5.650000,5.780000,5.500000,5.740000,0.012346,88570184.000000,502178000.000000,16166460710.000000,16166460710.000000,0.031447,14.888071,2009-09-30,2009-10-31,-717.507078,0.490574,5.528605,1.278269
sh600001,2009-12-03,5.620000,5.730000,5.490000,5.670000,0.007105,70685067.000000,396275120.000000,15969308750.000000,15969308750.000000,0.025097,14.706504,2009-09-30,2009-10-31,-708.756767,0.484591,5.461182,1.262680
sh600001,2009-12-02,5.630000,5.680000,5.560000,5.630000,0.001779,58221282.000000,327325388.000000,15856650480.000000,15856650480.000000,0.020672,14.602752,2009-09-30,2009-10-31,-703.756577,0.481173,5.422654,1.253772
sh600001,2009-12-01,5.470000,5.640000,5.370000,5.620000,0.025547,57674960.000000,319726470.000000,15828485920.000000,15828485920.000000,0.020478,14.576820,2009-09-30,2009-10-31,-702.506817,0.480318,5.413024,1.251545
